# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1542079	1542462	-							EMQ_RS06975	384		old_locus_tag=EMQ_1395
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1542079	1542462	-	WP_132012053.1	WP_132012053.1		hypothetical protein			EMQ_RS06975	384	127	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1542516	1543883	-							EMQ_RS06980	1368		old_locus_tag=EMQ_1396
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1542516	1543883	-	WP_018308263.1	WP_018308263.1		hypothetical protein			EMQ_RS06980	1368	455	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1543897	1544463	-							EMQ_RS06985	567		old_locus_tag=EMQ_1397
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1543897	1544463	-	WP_081617501.1	WP_081617501.1		phage scaffolding protein			EMQ_RS06985	567	188	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1544494	1545942	-							EMQ_RS06990	1449		old_locus_tag=EMQ_1398
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1544494	1545942	-	WP_231367980.1	WP_231367980.1		phage portal protein			EMQ_RS06990	1449	482	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1545951	1546838	-							EMQ_RS06995	888		old_locus_tag=EMQ_1399
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1545951	1546838	-	WP_190653920.1	WP_190653920.1		hypothetical protein			EMQ_RS06995	888	295	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1546892	1547284	-							EMQ_RS07000	393		old_locus_tag=EMQ_1400
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1546892	1547284	-	WP_018308262.1	WP_018308262.1		hypothetical protein			EMQ_RS07000	393	130	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1547274	1547768	-							EMQ_RS07005	495		old_locus_tag=EMQ_1401
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1547274	1547768	-	WP_132012052.1	WP_132012052.1		hypothetical protein			EMQ_RS07005	495	164	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1547769	1548062	-							EMQ_RS07010	294		old_locus_tag=EMQ_1402
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1547769	1548062	-	WP_099349287.1	WP_099349287.1		helix-turn-helix domain-containing protein			EMQ_RS07010	294	97	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1548093	1550291	-							EMQ_RS07015	2199		old_locus_tag=EMQ_1403
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1548093	1550291	-	WP_010666934.1	WP_010666934.1		hypothetical protein			EMQ_RS07015	2199	732	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1550530	1551597	+					pheS		EMQ_RS07020	1068		old_locus_tag=EMQ_1404
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1550530	1551597	+	WP_010666935.1	WP_010666935.1		phenylalanine--tRNA ligase subunit alpha	pheS		EMQ_RS07020	1068	355	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1551601	1554063	+					pheT		EMQ_RS07025	2463		old_locus_tag=EMQ_1405
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1551601	1554063	+	WP_010666936.1	WP_010666936.1		phenylalanine--tRNA ligase subunit beta	pheT		EMQ_RS07025	2463	820	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1554113	1555261	+							EMQ_RS07030	1149		old_locus_tag=EMQ_1406
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1554113	1555261	+	WP_018308260.1	WP_018308260.1		ATP phosphoribosyltransferase regulatory subunit			EMQ_RS07030	1149	382	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1555328	1556617	+							EMQ_RS07035	1290		old_locus_tag=EMQ_1407
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1555328	1556617	+	WP_010668402.1	WP_010668402.1		adenylosuccinate synthase			EMQ_RS07035	1290	429	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1556698	1558671	+							EMQ_RS07040	1974		old_locus_tag=EMQ_1408
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1556698	1558671	+	WP_018308259.1	WP_018308259.1		hypothetical protein			EMQ_RS07040	1974	657	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1558668	1559123	+							EMQ_RS07045	456		old_locus_tag=EMQ_1409
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1558668	1559123	+	WP_010667925.1	WP_010667925.1		hypothetical protein			EMQ_RS07045	456	151	
gene	pseudogene	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1559371	1560072	+							EMQ_RS07050	702		pseudo
CDS	without_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1559371	1560072	+				IS5 family transposase			EMQ_RS07050	702		pseudo
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1560101	1560268	+							EMQ_RS07055	168		old_locus_tag=EMQ_1410
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1560101	1560268	+	WP_010667250.1	WP_010667250.1		hypothetical protein			EMQ_RS07055	168	55	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1560402	1561664	+							EMQ_RS07060	1263		old_locus_tag=EMQ_1411
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1560402	1561664	+	WP_010667251.1	WP_010667251.1		C4-dicarboxylate transporter DctA			EMQ_RS07060	1263	420	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1561665	1562708	+							EMQ_RS07065	1044		old_locus_tag=EMQ_1412
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1561665	1562708	+	WP_010667252.1	WP_010667252.1		Ldh family oxidoreductase			EMQ_RS07065	1044	347	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1562825	1563643	+							EMQ_RS07070	819		old_locus_tag=EMQ_1413
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1562825	1563643	+	WP_010667253.1	WP_010667253.1		EAL domain-containing protein			EMQ_RS07070	819	272	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1563690	1564988	+							EMQ_RS07075	1299		old_locus_tag=EMQ_1414
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1563690	1564988	+	WP_010667254.1	WP_010667254.1		Hsp70 family protein			EMQ_RS07075	1299	432	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1565040	1566206	+							EMQ_RS07080	1167		old_locus_tag=EMQ_1415
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1565040	1566206	+	WP_010667255.1	WP_010667255.1		gluconolactonase			EMQ_RS07080	1167	388	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1566247	1567647	+					thrC		EMQ_RS07085	1401		old_locus_tag=EMQ_1416
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1566247	1567647	+	WP_010667256.1	WP_010667256.1		threonine synthase	thrC		EMQ_RS07085	1401	466	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1567698	1568963	+							EMQ_RS07090	1266		old_locus_tag=EMQ_1417
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1567698	1568963	+	WP_010667257.1	WP_010667257.1		insulinase family protein			EMQ_RS07090	1266	421	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1568960	1570318	+							EMQ_RS07095	1359		old_locus_tag=EMQ_1418
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1568960	1570318	+	WP_010667258.1	WP_010667258.1		TldD/PmbA family protein			EMQ_RS07095	1359	452	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1570407	1571345	+							EMQ_RS07100	939		old_locus_tag=EMQ_1419
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1570407	1571345	+	WP_010667259.1	WP_010667259.1		Tim44-like domain-containing protein			EMQ_RS07100	939	312	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1571666	1572736	-							EMQ_RS07105	1071		old_locus_tag=EMQ_1420
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1571666	1572736	-	WP_048874231.1	WP_048874231.1		acyltransferase			EMQ_RS07105	1071	356	
gene	pseudogene	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1573043	1573160	-							EMQ_RS07110	118		partial;pseudo
CDS	without_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1573043	1573160	-				IS5/IS1182 family transposase			EMQ_RS07110	118		partial;pseudo
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1573472	1574461	-					cbiB		EMQ_RS07115	990		old_locus_tag=EMQ_1421
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1573472	1574461	-	WP_010668993.1	WP_010668993.1		adenosylcobinamide-phosphate synthase CbiB	cbiB		EMQ_RS07115	990	329	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1574756	1575955	-							EMQ_RS07120	1200		old_locus_tag=EMQ_1422
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1574756	1575955	-	WP_018308253.1	WP_018308253.1		iron-containing alcohol dehydrogenase			EMQ_RS07120	1200	399	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1576371	1577807	-					rfaE1		EMQ_RS07125	1437		old_locus_tag=EMQ_1423
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1576371	1577807	-	WP_010668858.1	WP_010668858.1		D-glycero-beta-D-manno-heptose-7-phosphate kinase	rfaE1		EMQ_RS07125	1437	478	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1577816	1578466	-					gmk		EMQ_RS07130	651		old_locus_tag=EMQ_1424
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1577816	1578466	-	WP_018308252.1	WP_018308252.1		guanylate kinase	gmk		EMQ_RS07130	651	216	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1578565	1579404	+							EMQ_RS07135	840		old_locus_tag=EMQ_1425
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1578565	1579404	+	WP_010668911.1	WP_010668911.1		SDR family NAD(P)-dependent oxidoreductase			EMQ_RS07135	840	279	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1579451	1580800	+							EMQ_RS07140	1350		old_locus_tag=EMQ_1426
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1579451	1580800	+	WP_010668912.1	WP_010668912.1		cytosine permease			EMQ_RS07140	1350	449	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1580968	1581531	+							EMQ_RS07145	564		old_locus_tag=EMQ_1427
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1580968	1581531	+	WP_010668913.1	WP_010668913.1		hypothetical protein			EMQ_RS07145	564	187	
gene	tRNA	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1581635	1581726	+							EMQ_RS07150	92		old_locus_tag=EMQ_t024
tRNA		GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1581635	1581726	+				tRNA-Ser			EMQ_RS07150	92		anticodon=GCT
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1581882	1583090	+							EMQ_RS07155	1209		old_locus_tag=EMQ_1428
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1581882	1583090	+	WP_018308250.1	WP_018308250.1		tyrosine-type recombinase/integrase			EMQ_RS07155	1209	402	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1583178	1583321	-							EMQ_RS17145	144		old_locus_tag=EMQ_1429
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1583178	1583321	-	WP_231368055.1	WP_231368055.1		AlpA family phage regulatory protein			EMQ_RS17145	144	47	
gene	pseudogene	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1583914	1584579	+							EMQ_RS07165	666		partial;pseudo
CDS	without_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1583914	1584579	+				IS5/IS1182 family transposase			EMQ_RS07165	666		partial;pseudo
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1584947	1586026	+							EMQ_RS07170	1080		old_locus_tag=EMQ_1433
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1584947	1586026	+	WP_018308246.1	WP_018308246.1		IS5 family transposase			EMQ_RS07170	1080	359	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1586247	1586609	+							EMQ_RS07175	363		old_locus_tag=EMQ_1434
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1586247	1586609	+	WP_231367979.1	WP_231367979.1		transposase			EMQ_RS07175	363	120	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1586624	1588063	-							EMQ_RS07180	1440		old_locus_tag=EMQ_1435
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1586624	1588063	-	WP_010668792.1	WP_010668792.1		CoA transferase			EMQ_RS07180	1440	479	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1588129	1589727	-							EMQ_RS07185	1599		old_locus_tag=EMQ_1436
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1588129	1589727	-	WP_018308245.1	WP_018308245.1		carbohydrate porin			EMQ_RS07185	1599	532	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1589836	1591353	-							EMQ_RS07190	1518		old_locus_tag=EMQ_1437
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1589836	1591353	-	WP_010668712.1	WP_010668712.1		cation/acetate symporter ActP			EMQ_RS07190	1518	505	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1591462	1591725	-							EMQ_RS07195	264		old_locus_tag=EMQ_1438
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1591462	1591725	-	WP_010668711.1	WP_010668711.1		DUF485 domain-containing protein			EMQ_RS07195	264	87	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1591954	1592832	+							EMQ_RS07200	879		old_locus_tag=EMQ_1439
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1591954	1592832	+	WP_018308243.1	WP_018308243.1		LysR substrate-binding domain-containing protein			EMQ_RS07200	879	292	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1593274	1596171	+					nirB		EMQ_RS07205	2898		old_locus_tag=EMQ_1440
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1593274	1596171	+	WP_035349989.1	WP_035349989.1		nitrite reductase large subunit NirB	nirB		EMQ_RS07205	2898	965	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1596406	1597398	+							EMQ_RS07210	993		old_locus_tag=EMQ_1441
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1596406	1597398	+	WP_010666245.1	WP_010666245.1		oxidoreductase			EMQ_RS07210	993	330	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1598001	1598957	+							EMQ_RS07215	957		old_locus_tag=EMQ_1442
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1598001	1598957	+	WP_010666180.1	WP_010666180.1		alpha/beta hydrolase			EMQ_RS07215	957	318	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1599020	1599667	-							EMQ_RS07220	648		old_locus_tag=EMQ_1443
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1599020	1599667	-	WP_010666181.1	WP_010666181.1		SOS response-associated peptidase			EMQ_RS07220	648	215	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1599646	1600230	-							EMQ_RS17150	585		old_locus_tag=EMQ_1444
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1599646	1600230	-	WP_018308240.1	WP_018308240.1		replication initiator protein A			EMQ_RS17150	585	194	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1600498	1600863	+							EMQ_RS07230	366		old_locus_tag=EMQ_1445
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1600498	1600863	+	WP_010668813.1	WP_010668813.1		DUF2384 domain-containing protein			EMQ_RS07230	366	121	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1600860	1601378	+							EMQ_RS07235	519		old_locus_tag=EMQ_1446
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1600860	1601378	+	WP_081471034.1	WP_081471034.1		RES domain-containing protein			EMQ_RS07235	519	172	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1601774	1602286	+							EMQ_RS07240	513		old_locus_tag=EMQ_1447
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1601774	1602286	+	WP_132012121.1	WP_132012121.1		hypothetical protein			EMQ_RS07240	513	170	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1602370	1602657	+							EMQ_RS07245	288		old_locus_tag=EMQ_1448
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1602370	1602657	+	WP_010668290.1	WP_010668290.1		hypothetical protein			EMQ_RS07245	288	95	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1602651	1603901	-							EMQ_RS07250	1251		old_locus_tag=EMQ_1449
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1602651	1603901	-	WP_010668291.1	WP_010668291.1		MFS transporter			EMQ_RS07250	1251	416	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1604046	1605497	-							EMQ_RS07255	1452		old_locus_tag=EMQ_1450
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1604046	1605497	-	WP_010668292.1	WP_010668292.1		multicopper oxidase domain-containing protein			EMQ_RS07255	1452	483	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1605764	1607698	+					cadA		EMQ_RS07260	1935		old_locus_tag=EMQ_1452
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1605764	1607698	+	WP_018308237.1	WP_018308237.1		cadmium-translocating P-type ATPase	cadA		EMQ_RS07260	1935	644	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1607979	1609508	+							EMQ_RS07265	1530		old_locus_tag=EMQ_1453
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1607979	1609508	+	WP_010666366.1	WP_010666366.1		hypothetical protein			EMQ_RS07265	1530	509	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1609733	1609978	-							EMQ_RS07270	246		old_locus_tag=EMQ_1454
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1609733	1609978	-	WP_018307606.1	WP_018307606.1		hypothetical protein			EMQ_RS07270	246	81	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1610169	1610807	+							EMQ_RS07275	639		old_locus_tag=EMQ_1455
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1610169	1610807	+	WP_173585204.1	WP_173585204.1		LexA family transcriptional regulator			EMQ_RS07275	639	212	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1611045	1611215	+							EMQ_RS07280	171		old_locus_tag=EMQ_1456
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1611045	1611215	+	WP_018307607.1	WP_018307607.1		hypothetical protein			EMQ_RS07280	171	56	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1611229	1611528	+							EMQ_RS07285	300		old_locus_tag=EMQ_1457
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1611229	1611528	+	WP_010668666.1	WP_010668666.1		hypothetical protein			EMQ_RS07285	300	99	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1611666	1612064	+							EMQ_RS07290	399		old_locus_tag=EMQ_1458
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1611666	1612064	+	WP_018307608.1	WP_018307608.1		hypothetical protein			EMQ_RS07290	399	132	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1612128	1612643	+							EMQ_RS07295	516		old_locus_tag=EMQ_1460
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1612128	1612643	+	WP_010668774.1	WP_010668774.1		hypothetical protein			EMQ_RS07295	516	171	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1612656	1613204	+							EMQ_RS07300	549		old_locus_tag=EMQ_1461
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1612656	1613204	+	WP_010668775.1	WP_010668775.1		hypothetical protein			EMQ_RS07300	549	182	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1613261	1614034	-							EMQ_RS07305	774		old_locus_tag=EMQ_1462
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1613261	1614034	-	WP_231367978.1	WP_231367978.1		hypothetical protein			EMQ_RS07305	774	257	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1614125	1614358	-							EMQ_RS07310	234		old_locus_tag=EMQ_1463
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1614125	1614358	-	WP_010668777.1	WP_010668777.1		hypothetical protein			EMQ_RS07310	234	77	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1614497	1615264	-							EMQ_RS07315	768		old_locus_tag=EMQ_1464
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1614497	1615264	-	WP_010668778.1	WP_010668778.1		hypothetical protein			EMQ_RS07315	768	255	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1615877	1616227	+							EMQ_RS07320	351		
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1615877	1616227	+	WP_018308235.1	WP_018308235.1		hypothetical protein			EMQ_RS07320	351	116	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1616534	1617469	-							EMQ_RS07325	936		old_locus_tag=EMQ_1466
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1616534	1617469	-	WP_018307613.1	WP_018307613.1		hypothetical protein			EMQ_RS07325	936	311	
gene	pseudogene	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1617999	1619077	-							EMQ_RS07330	1079		pseudo;old_locus_tag=EMQ_1467
CDS	without_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1617999	1619077	-				IS5 family transposase			EMQ_RS07330	1079		pseudo
gene	pseudogene	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1619162	1619431	+							EMQ_RS07335	270		partial;pseudo
CDS	without_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1619162	1619431	+				transposase			EMQ_RS07335	270		partial;pseudo
gene	pseudogene	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1619549	1620342	-							EMQ_RS07340	794		pseudo
CDS	without_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1619549	1620342	-				ABC transporter ATP-binding protein			EMQ_RS07340	794		pseudo
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1620336	1621316	-							EMQ_RS07345	981		old_locus_tag=EMQ_1470
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1620336	1621316	-	WP_010668224.1	WP_010668224.1		ABC transporter permease subunit			EMQ_RS07345	981	326	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1621313	1622374	-							EMQ_RS07350	1062		old_locus_tag=EMQ_1471
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1621313	1622374	-	WP_010668223.1	WP_010668223.1		ABC transporter substrate-binding protein			EMQ_RS07350	1062	353	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1622374	1622934	-							EMQ_RS07355	561		old_locus_tag=EMQ_1472
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1622374	1622934	-	WP_018308229.1	WP_018308229.1		flavin reductase			EMQ_RS07355	561	186	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1622924	1623622	-							EMQ_RS07360	699		old_locus_tag=EMQ_1473
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1622924	1623622	-	WP_018308079.1	WP_018308079.1		AhpC/TSA family protein			EMQ_RS07360	699	232	
